"player_name","country"
"Cheick Diallo","Mali"
"Davis Bertans","Latvia"
"Dario Saric","Croatia"
"Buddy Hield","Bahamas"
"Alex Abrines","Spain"
"Ben Bentil","Ghana"
"Jamal Murray","Canada"
"Jakob Poeltl","Austria"
"Joel Embiid","Cameroon"
"Joel Bolomboy","Ukraine"
"Dragan Bender","Croatia"
"Domantas Sabonis","Lithuania"
"Ivica Zubac","Croatia"
"Georgios Papagiannis","Greece"
"Mangok Mathiang","Australia"
"Maxi Kleber","Germany"
"Naz Mitrou-Long","Canada"
"Milos Teodosic","Serbia"
"OG Anunoby","England"
"Khem Birch","Canada"
"Lauri Markkanen","Finland"
"Xavier Rathan-Mayes","Canada"
"Omari Johnson","Jamaica"
"Daniel Theis","Germany"
"Chris Boucher","Canada"
"Cedi Osman","Turkey"
"Ante Zizic","Croatia"
"Abdel Nader","Egypt"
"Bogdan Bogdanovic","Serbia"
"Ben Simmons","Australia"
"Dillon Brooks","Canada"
"Furkan Korkmaz","Turkey"
"Frank Ntilikina","France"
"Guerschon Yabusele","France"
"Gian Clavell","Puerto Rico"
"Zhou Qi","China"
"Dzanan Musa","Bosnia and Herzegovina"
"Elie Okobo","France"
"Isaac Bonga","Germany"
"Isaac Humphries","Australia"
"Isaiah Hartenstein","Germany"
"Angel Delgado","Dominican Republic"
"DeVaughn Akoon-Purcell","Trinidad and Tobago"
"Deandre Ayton","Bahamas"
"Deng Adel","South Sudan"
"Dairis Bertans","Latvia"
"Ryan Broekhoff","Australia"
"Shai Gilgeous-Alexander","Canada"
"Svi Mykhailiuk","Ukraine"
"Rodions Kurucs","Latvia"
"Yuta Watanabe","Japan"
"Kostas Antetokounmpo","Greece"
"Jonah Bolden","Australia"
"Josh Okogie","Nigeria"
"Mitchell Creek","Australia"
"Moritz Wagner","Germany"
"Luka Doncic","Slovenia"
"Jaylen Hoard","France"
"Goga Bitadze","Georgia"
"Ignas Brazdeikis","Canada"
"Kyle Alexander","Canada"
"Bruno Fernando","Angola"
"Brandon Clarke","Canada"
"Chris Silva","Gabon"
"Chris Boucher","Saint Lucia"
"Bol Bol","Sudan"
"Alen Smailagic","Serbia"
"Admiral Schofield","England"
"Adam Mokoka","France"
"Anzejs Pasecniks","Latvia"
"Tacko Fall","Senegal"
"Rui Hachimura","Japan"
"Sekou Doumbouya","France"
"Serge Ibaka","Republic of the Congo"
"Vincent Poirier","France"
"Vlatko Cancar","Slovenia"
"Wenyen Gabriel","South Sudan"
"William Howard","France"
"Trey Lyles","Canada"
"Mfiondu Kabengele","Canada"
"Marko Guduric","Serbia"
"Luguentz Dort","Canada"
"Luka Samanic","Croatia"
"Marial Shayok","Canada"
"RJ Barrett","Canada"
"Oshae Brissett","Canada"
"Mychal Mulder","Canada"
"Nickeil Alexander-Walker","Canada"
"Nicolo Melli","Italy"
"Gabriel Deck","Argentina"
"Facundo Campazzo","Argentina"
"Didi Louzada","Brazil"
"Aleksej Pokusevski","Serbia"
"Deividas Sirvydis","Lithuania"
"Deni Avdija","Israel"
"Theo Maledon","France"
"Will Magnay","Australia"
"Udoka Azubuike","Nigeria"
"Precious Achiuwa","Nigeria"
"Killian Hayes","France"
"Killian Tillie","France"
"Josh Green","Australia"
"Karim Mane","Senegal"
"Nate Darling","Canada"
"Nick Richards","Jamaica"
"Nico Mannion","Italy"
"Mamadi Diakite","Guinea"
"Usman Garuba","Spain"
"Vit Krejci","Czech Republic"
"Yves Pons","France"
"Franz Wagner","Germany"
"Gabriel Lundberg","Denmark"
"Eugene Omoruyi","Nigeria"
"Georgios Kalaitzakis","Greece"
"Enes Freedom","Turkey"
"Duane Washington Jr.","Germany"
"Jaime Echenique","Colombia"
"Charles Bassey","Nigeria"
"Cam Thomas","Japan"
"Dalano Banton","Canada"
"Chris Duarte","Dominican Republic"
"Alekesej Pokusevski","Serbia"
"Arnoldas Kulboka","Lithuania"
"Alperen Sengun","Turkey"
"Omer Yurtseven","Turkey"
"Olivier Sarr","France"
"Neemias Queta","Portugal"
"Petr Cornelie","France"
"Lindell Wigginton","Canada"
"Leandro Bolmaro","Argentina"
"Marko Simonovic","Montenegro"
"Kai Jones","Bahamas"
"Kevin Pangos","Canada"
"Joel Ayayi","France"
"Jock Landale","Australia"
"Jonathan Kuminga","Democratic Republic of the Congo"
"Josh Giddey","Australia"
"Joshua Primo","Canada"
"Sandro Mamukelashvili","Georgia"
"Santi Aldama","Spain"
"Moussa Diabate","France"
"Ousmane Dieng","France"
"O.G. Anunoby","England"
"Nikola Jovic","Serbia"
"Xavier Cooks","Australia"
"Simone Fontecchio","Italy"
"Shaedon Sharpe","Canada"
"Dyson Daniels","Australia"
"Bennedict Mathurin","Canada"
"A.J. Lawson","Canada"
"Andrew Nembhard","Canada"
"Christian Koloko","Cameroon"
"Caleb Houstan","Canada"
"Chima Moneke","Nigeria"
"Jack White","Australia"
"Jeremy Sochan","Poland"
